,Time,T1,T2,t1,t2,q1,q2,x,y,x_dot,y_dot,Fx,Fy,Fx_Mea,Fy_Mea
0,0.0,-2.0,-2.0,-1.986263736263734,0.008241758241758212,0.142,0.402,0.2597861739851837,0.1783297814622543,0.004393613158724236,0.002183380530702636,-5.7053439330851425,11.480854494650787,-19.50942611694336,-12.86077880859375
1,0.05440878868103027,-2.0,-2.0,-0.30494505494505386,-0.024725274725274637,0.138,0.402,0.2586969371155081,0.17848327878603137,-0.144129269466506,0.017210164896148444,-5.745658890759983,11.497994508775088,-12.03412914276123,-11.5197114944458
2,0.0709829330444336,-2.0,-2.0,-1.8873626373626355,-1.8379120879120863,0.144,0.424,0.2582114277793796,0.17341543458894088,0.030350533427743007,0.23169447018300046,-5.653029272429009,11.69459267526217,-9.29083251953125,-11.74832534790039
3,0.08779478073120117,-2.0,-2.0,-2.019230769230767,-1.9532967032967012,0.145,0.422,0.2586806006758182,0.1738135287064025,0.007126815517866529,-0.05516617834000166,-5.645816429426521,11.66952881695154,-14.194284439086914,-11.530479431152344
4,0.10451292991638184,-2.0,-2.0,-2.019230769230767,-1.9532967032967012,0.145,0.422,0.2586806006758182,0.1738135287064025,0.007126815517866529,-0.05516617834000166,-5.645816429426521,11.66952881695154,-12.190747261047363,-11.301260948181152
5,0.12085700035095215,-2.0,-2.0,-2.0027472527472505,-1.9697802197802177,0.144,0.427,0.25791422899115257,0.17275963546460743,0.0051826527987749865,0.019041889715901462,-5.648556511888357,11.72543852246583,-12.664817810058594,-11.531667709350586
6,0.13779878616333008,-2.0,-2.0,-2.019230769230767,-2.0027472527472505,0.145,0.427,0.25818636293762254,0.17272003611011033,0.011260951648309196,0.0011512008649021274,-5.638331574904712,11.720786227244679,-12.303190231323242,-11.390146255493164
7,0.15438580513000488,-2.0,-2.0,-2.019230769230767,-1.986263736263734,0.145,0.427,0.25818636293762254,0.17272003611011033,0.002072640433321324,-0.003098236355251471,-5.638331574904712,11.720786227244679,-11.798583030700684,-11.584927558898926
8,0.17110896110534668,-2.0,-2.0,-2.019230769230767,-1.986263736263734,0.144,0.427,0.25791422899115257,0.17275963546460743,0.002073115625575289,-0.003094970747893831,-5.648556511888357,11.72543852246583,-11.846729278564453,-11.856279373168945
9,0.1802518367767334,-2.0,-2.0,-2.0027472527472505,-1.986263736263734,0.144,0.426,0.25801351383712845,0.172978136070006,0.006935341415410657,0.007612799085001436,-5.65004954001294,11.715142036216871,-12.0934419631958,-11.445043563842773
10,0.19588184356689453,-2.0,-2.0,-2.019230769230767,-2.0027472527472505,0.144,0.426,0.25801351383712845,0.172978136070006,0.004455951730425665,0.0021490433446713464,-5.65004954001294,11.715142036216871,-12.01107120513916,-11.526252746582031
11,0.21104788780212402,-2.0,-2.0,-2.019230769230767,-1.986263736263734,0.144,0.426,0.25801351383712845,0.172978136070006,0.004455951730425665,0.0021490433446713464,-5.65004954001294,11.715142036216871,-11.794393539428711,-11.803557395935059
12,0.22075486183166504,-2.0,-2.0,-1.986263736263734,-2.0027472527472505,0.144,0.426,0.25801351383712845,0.172978136070006,0.00040365205214491903,0.008559917906375631,-5.65004954001294,11.715142036216871,-11.95772933959961,-11.532064437866211
13,0.23795485496520996,-2.0,-2.0,-2.0027472527472505,-1.986263736263734,0.144,0.426,0.25801351383712845,0.172978136070006,0.004455951730425665,0.0021490433446713464,-5.65004954001294,11.715142036216871,-12.082870483398438,-11.532676696777344
14,0.25423097610473633,-2.0,-2.0,-2.019230769230767,-1.986263736263734,0.144,0.426,0.25801351383712845,0.172978136070006,0.004455951730425665,0.0021490433446713464,-5.65004954001294,11.715142036216871,-11.840484619140625,-11.700638771057129
15,0.26766395568847656,-2.0,-2.0,-2.019230769230767,-1.986263736263734,0.144,0.426,0.25801351383712845,0.172978136070006,-0.0020757376328400723,0.003096162166045541,-5.65004954001294,11.715142036216871,-11.884984016418457,-11.621005058288574
16,0.2863759994506836,-2.0,-2.0,-2.019230769230767,-2.0027472527472505,0.144,0.427,0.25791422899115257,0.17275963546460743,0.002073115625575289,-0.003094970747893831,-5.648556511888357,11.72543852246583,-12.089729309082031,-11.567150115966797
17,0.30439090728759766,-2.0,-2.0,-2.019230769230767,-2.019230769230767,0.145,0.426,0.2582856477835984,0.1729385367155089,0.004455476538171699,0.0021457777373137064,-5.639832774672479,11.710505785292975,-11.902007102966309,-11.598785400390625
18,0.32080984115600586,-2.0,-2.0,-2.019230769230767,-1.986263736263734,0.144,0.426,0.25801351383712845,0.172978136070006,0.006935341415410657,0.007612799085001436,-5.65004954001294,11.715142036216871,-11.85373592376709,-11.68478775024414
19,0.337338924407959,-2.0,-2.0,-2.0027472527472505,-1.986263736263734,0.144,0.426,0.25801351383712845,0.172978136070006,0.006935341415410657,0.007612799085001436,-5.65004954001294,11.715142036216871,-12.029840469360352,-11.585342407226562
20,0.35398387908935547,-2.0,-2.0,-2.019230769230767,-2.0027472527472505,0.145,0.426,0.2582856477835984,0.1729385367155089,0.011258329641044413,0.0011523922830538374,-5.639832774672479,11.710505785292975,-11.946333885192871,-11.542221069335938
21,0.3621199131011963,-2.0,-2.0,-2.019230769230767,-2.0027472527472505,0.144,0.426,0.25801351383712845,0.172978136070006,-0.0020757376328400723,0.003096162166045541,-5.65004954001294,11.715142036216871,-11.848527908325195,-11.70001220703125
22,0.3835868835449219,-2.0,-2.0,-2.0027472527472505,-1.986263736263734,0.144,0.427,0.25791422899115257,0.17275963546460743,0.002073115625575289,-0.003094970747893831,-5.648556511888357,11.72543852246583,-11.960972785949707,-11.601457595825195
