,Time,T1,T2,t1,t2,q1,q2,x,y,x_dot,y_dot,Fx,Fy,Fx_Mea,Fy_Mea
0,0.0,-3.0,-3.0,-2.925824175824175,-0.008241758241758212,0.422,0.02,0.35258810050555855,0.24607500828106446,-0.027538619551544286,0.03047563973082083,-6.288395380494254,12.62828509608217,-3.3158318996429443,-8.337111473083496
1,0.05306506156921387,-3.0,-3.0,-0.5851648351648331,-0.024725274725274637,0.419,0.02,0.35183497070756686,0.2464117871356684,-0.11963425451970132,0.11669723434042477,-6.317564668260433,12.62886855963471,-1.5630502700805664,-4.210712432861328
2,0.06915283203125,-3.0,-3.0,-2.8598901098901095,-2.8269230769230766,0.417,0.058,0.3509767558946602,0.23752253367573103,-0.021630379234246006,0.2414223614311366,-6.22484758052764,12.882501063075729,1.1587624549865723,2.7029011249542236
3,0.08460783958435059,-3.0,-3.0,-2.958791208791208,-2.991758241758241,0.417,0.055,0.35101741423941263,0.23824138450184318,-0.009144764876730604,0.012178730126772843,-6.23386756426607,12.862138963877046,3.357142686843872,1.456669807434082
4,0.09996294975280762,-3.0,-3.0,-3.0082417582417573,-3.0576923076923066,0.416,0.059,0.3507112335231804,0.23739419882543353,-0.013623496260788733,-0.0637654309051419,-6.231711525047326,12.88988604609774,1.716383457183838,0.02699887752532959
5,0.11561393737792969,-3.0,-3.0,-3.074175824175823,-3.1236263736263723,0.415,0.062,0.35041609860047523,0.2367865194239258,-0.0237552485167856,-0.016695835979802013,-6.232556970170373,12.910977965884737,0.11444810032844543,-1.4989328384399414
6,0.13175392150878906,-3.0,-3.0,-3.04120879120879,-3.0082417582417573,0.414,0.062,0.35016438621567125,0.2368972708078187,-0.002842767249693824,0.005895679287172134,-6.242453486658625,12.911592337323423,3.6512670516967773,-0.6268817782402039
7,0.14764189720153809,-3.0,-3.0,-3.0906593406593394,-2.9752747252747245,0.413,0.062,0.34991256320535796,0.23700777042399312,-0.015186126962756381,0.018239039000234693,-6.252354330988724,12.91220697743265,1.2031480073928833,0.5773556232452393
8,0.16314291954040527,-3.0,-3.0,-2.9423076923076916,-3.04120879120879,0.408,0.062,0.3486517975888153,0.2375564881304188,-0.058384608362918713,0.06143752040039703,-6.30192399663228,12.915284240713396,0.3112034797668457,-0.5712927579879761
9,0.17832684516906738,-3.0,-3.0,-3.074175824175823,-3.04120879120879,0.407,0.062,0.34839931611758357,0.23766547482860978,-0.0028519856979433173,0.005904897735421627,-6.3118511239324375,12.91590051245797,1.6740176677703857,0.6536097526550293
10,0.19449305534362793,-3.0,-3.0,-3.0082417582417573,-2.991758241758241,0.406,0.062,0.34814672578591255,0.23777420899087826,0.00321018175698089,-0.00015726971950257972,-6.321782684448236,12.916517059414641,3.097341775894165,0.47772902250289917
11,0.21028399467468262,-3.0,-3.0,-3.0906593406593394,-3.0082417582417573,0.405,0.063,0.34787903661073494,0.23764315911590253,-0.021665338535006212,0.01860973200364474,-6.328738245807412,12.924086181943714,1.6215099096298218,1.1716718673706055
12,0.22561001777648926,-3.0,-3.0,-2.925824175824175,-3.0082417582417573,0.4,0.063,0.34661392164364924,0.23818177324610793,-0.06502401397905935,0.06196840744769788,-6.378504971824483,12.92722564028561,0.6251075267791748,1.2322605848312378
13,0.24058294296264648,-3.0,-3.0,-2.9752747252747245,-3.0082417582417573,0.443,0.063,0.3574031223047543,0.23334418811988134,-0.0031627702599510287,0.00010716372858955844,-5.95403472375393,12.900448579228106,2.205482006072998,1.4056740999221802
14,0.2557499408721924,-3.0,-3.0,-3.0082417582417573,-2.9093406593406588,0.399,0.064,0.346345346607981,0.2380492203439296,0.0009839496448796991,-0.035134943639174646,-6.385511752549017,12.934875405961275,2.8267736434936523,-0.012709200382232666
15,0.2712569236755371,-3.0,-3.0,-3.0082417582417573,-3.074175824175823,0.399,0.068,0.3462820326395327,0.23709131110365683,-0.01156094829314584,-0.022709921467573585,-6.373640263772522,12.963032586885227,3.289336681365967,-0.6805915832519531
16,0.2865619659423828,-3.0,-3.0,-3.1730769230769216,-3.0082417582417573,0.397,0.068,0.3457750218306087,0.23730447756162082,-0.04051998171460825,0.037450948601708,-6.39362754236447,12.964393820591427,0.2521878182888031,-0.33770817518234253
17,0.30146098136901855,-3.0,-3.0,-2.843406593406593,-2.991758241758241,0.391,0.068,0.3442514456128427,0.23793788686149542,-0.09616328432581651,0.09923231743871676,-6.453702034403942,12.96848519416542,-0.25425368547439575,-0.24188505113124847
18,0.31775784492492676,-3.0,-3.0,-2.958791208791208,-2.991758241758241,0.389,0.068,0.3437427457147045,0.23814699045496251,-0.021824314474543874,0.018755281361643627,-6.473764823535628,12.9698515705173,0.8598458170890808,0.6623333692550659
19,0.3340468406677246,-3.0,-3.0,-2.991758241758241,-2.991758241758241,0.389,0.068,0.3437427457147045,0.23814699045496251,0.00285776388545955,-0.005926796998359797,-6.473764823535628,12.9698515705173,2.0253524780273438,-0.19934174418449402
20,0.3493669033050537,-3.0,-3.0,-3.0082417582417573,-3.074175824175823,0.389,0.07,0.3437096519946847,0.23766813272150164,-0.003674545477347405,-0.005804799889259008,-6.467891386570975,12.984180995816805,2.8601198196411133,0.11156356334686279
21,0.3650989532470703,-3.0,-3.0,-3.156593406593405,-2.991758241758241,0.387,0.07,0.34320053490703784,0.23787621849764376,-0.033923339848727224,0.03699772212978876,-6.4879898855086795,12.985590193183711,0.3933262825012207,0.591975212097168
